x,y
-50.00691605,187.582
-50.00024935,158.0248
-49.99358265,137.7911
-49.98691595,150.6241
-49.98024925,-3.112888
-49.97358255,-0.04577776
-49.96691585,0.2136296
-49.96024915,-2.075258
-49.95358245,-2.594073
-49.94691575,4.196295
-49.94024905,-1.388592
-49.93358235,-2.609332
-49.92691565,-2.929777
-49.92024895,-3.357036
-49.91358225,1.724296
-49.90691555,-0.7171849
-49.90024885,-5.188146
-49.89358215,-1.205481
-49.88691545,2.578814
-49.88024875,-2.349925
-49.87358205,-1.144444
-49.86691535,-0.4577776
-49.86024865,-3.662221
-49.85358195,-3.47911
-49.84691525,-1.037629
-49.84024855,-0.5493332
-49.83358185,-0.778222
-49.82691515,-3.646962
-49.82024845,-2.273629
-49.81358175,1.327555
-49.80691505,-1.663259
-49.80024835,-2.945036
-49.79358165,-0.900296
-49.78691495,-1.739555
-49.78024825,-0.8545182
-49.77358155,-2.395703
-49.76691485,-5.52385
-49.76024815,0.04577776
-49.75358145,-2.426221
-49.74691475,-0.03051851
-49.74024805,-1.22074
-49.73358135,-5.52385
-49.72691465,-4.50148
-49.72024795,-3.47911
-49.71358125,-1.571703
-49.70691455,-1.449629
-49.70024785,-2.822962
-49.69358115,-5.645924
-49.68691445,-3.540147
-49.68024775,-2.65511
-49.67358105,-2.731406
-49.66691435,-1.770073
-49.66024765,-4.135258
-49.65358095,-4.150517
-49.64691425,-1.236
-49.64024755,-3.189184
-49.63358085,-3.28074
-49.62691415,-5.752738
-49.62024745,-2.273629
-49.61358075,0.06103702
-49.60691405,-4.928739
-49.60024735,-4.531998
-49.59358065,-1.602222
-49.58691395,-0.2899258
-49.58024725,0.6561479
-49.57358055,-1.953184
-49.56691385,-3.601184
-49.56024715,-0.4577776
-49.55358045,-2.670369
-49.54691375,-2.899258
-49.54024705,-4.364147
-49.53358035,-1.937925
-49.52691365,-2.471999
-49.52024695,-0.2136296
-49.51358025,-0.1373333
-49.50691355,-4.837183
-49.50024685,-1.266518
-49.49358015,1.144444
-49.48691345,-1.464888
-49.48024675,0.9918515
-49.47358005,-1.510666
-49.46691336,-1.419111
-49.46024666,1.571703
-49.45357996,0.7324442
-49.44691326,-0.9765922
-49.44024656,-1.190222
-49.43357986,-3.830073
-49.42691316,0.5493332
-49.42024646,-0.3051851
-49.41357976,-1.358074
-49.40691306,-3.982665
-49.40024636,0.03051851
-49.39357966,-1.586962
-49.38691296,1.236
-49.38024626,-1.327555
-49.37357956,-2.471999
-49.36691286,1.373333
-49.36024616,-2.761925
-49.35357946,0.1678518
-49.34691276,-1.541185
-49.34024606,-3.769036
-49.33357936,-0.5188146
-49.32691266,-0.9765922
-49.32024596,1.098666
-49.31357926,-3.219702
-49.30691256,-5.142368
-49.30024586,-5.569628
-49.29357916,-2.395703
-49.28691246,-0.6714072
-49.28024576,-0.6561479
-49.27357906,-4.119998
-49.26691236,-0.8087404
-49.26024566,-1.266518
-49.25357896,-0.183111
-49.24691226,-3.814813
-49.24024556,-0.6866664
-49.23357886,-1.663259
-49.22691216,2.639851
-49.22024546,-0.4119999
-49.21357876,-0.961333
-49.20691206,-2.578814
-49.20024536,3.326517
-49.19357866,-2.517777
-49.18691196,-1.144444
-49.18024526,-5.157628
-49.17357856,-2.502518
-49.16691186,-0.9918515
-49.16024516,-0.8850367
-49.15357846,-0.8087404
-49.14691176,0.6714072
-49.14024506,-4.593035
-49.13357836,-5.767998
-49.12691166,1.190222
-49.12024496,-5.157628
-49.11357826,-4.638813
-49.10691156,-0.900296
-49.10024486,-2.700888
-49.09357816,-2.945036
-49.08691146,2.914517
-49.08024476,-3.67748
-49.07357806,-2.288888
-49.06691136,2.258369
-49.06024466,-2.273629
-49.05357796,1.785333
-49.04691126,-0.6408886
-49.04024456,-2.090518
-49.03357786,1.983703
-49.02691116,-3.295999
-49.02024446,-5.096591
-49.01357776,0.183111
-49.00691106,-12.89407
-49.00024436,-1.190222
-48.99357766,2.273629
-48.98691096,-8.636738
-48.98024426,-1.068148
-48.97357756,-2.258369
-48.96691086,-0.03051851
-48.96024416,1.403851
-48.95357746,-7.965331
-48.94691076,-0.778222
-48.94024406,0.3051851
-48.93357736,2.777184
-48.92691066,-5.279702
-48.92024396,2.014221
-48.91357726,2.349925
-48.90691056,3.46385
-48.90024386,4.470962
-48.89357716,-0.8850367
-48.88691046,7.309183
-48.88024376,-2.395703
-48.87357706,-6.454664
-48.86691036,-1.480148
-48.86024367,0.5188146
-48.85357697,-0.8697774
-48.84691027,0.6561479
-48.84024357,2.151555
-48.83357687,-0.5798516
-48.82691017,0.3814813
-48.82024347,1.281777
-48.81357677,-3.250221
-48.80691007,-2.410962
-48.80024337,-1.098666
-48.79357667,-0.2136296
-48.78690997,-4.867702
-48.78024327,-2.075258
-48.77357657,-1.266518
-48.76690987,-1.998962
-48.76024317,-1.892147
-48.75357647,-5.752738
-48.74690977,-1.02237
-48.74024307,4.242073
-48.73357637,-0.4425184
-48.72690967,1.205481
-48.72024297,-2.594073
-48.71357627,-4.135258
-48.70690957,-1.602222
-48.70024287,2.807703
-48.69357617,-6.027405
-48.68690947,-2.288888
-48.68024277,-1.113926
-48.67357607,-3.87585
-48.66690937,-0.6866664
-48.66024267,-1.22074
-48.65357597,-3.753777
-48.64690927,-3.250221
-48.64024257,-0.8850367
-48.63357587,-1.998962
-48.62690917,-9.063996
-48.62024247,-1.327555
-48.61357577,-1.647999
-48.60690907,-5.92059
-48.60024237,0.2594073
-48.59357567,-3.585925
-48.58690897,-7.126071
-48.58024227,-3.47911
-48.57357557,-0.2136296
-48.56690887,2.059999
-48.56024217,-2.746666
-48.55357547,-1.205481
-48.54690877,0.0
-48.54024207,-1.815851
-48.53357537,0.3662221
-48.52690867,0.961333
-48.52024197,-3.326517
-48.51357527,-3.250221
-48.50690857,0.2594073
-48.50024187,1.922666
-48.49357517,-0.3662221
-48.48690847,-3.509628
-48.48024177,-2.990814
-48.47357507,1.342814
-48.46690837,-0.900296
-48.46024167,-2.441481
-48.45357497,0.7019257
-48.44690827,-2.975554
-48.44024157,1.586962
-48.43357487,-1.892147
-48.42690817,1.098666
-48.42024147,-2.029481
-48.41357477,6.805627
-48.40690807,0.5188146
-48.40024137,1.190222
-48.39357467,4.928739
-48.38690797,-3.769036
-48.38024127,-0.5798516
-48.37357457,2.86874
-48.36690787,1.113926
-48.36024117,0.0
-48.35357447,-1.571703
-48.34690777,-0.839259
-48.34024107,1.312296
-48.33357437,1.602222
-48.32690767,-0.8545182
-48.32024097,-1.739555
-48.31357427,3.46385
-48.30690757,-0.03051851
-48.30024087,-0.2594073
-48.29357417,2.487258
-48.28690747,-3.906369
-48.28024077,-0.9155552
-48.27357407,3.28074
-48.26690737,0.09155552
-48.26024067,0.183111
-48.25357398,-4.058961
-48.24690728,-1.098666
-48.24024058,0.5340739
-48.23357388,-4.150517
-48.22690718,-1.709036
-48.22024048,-2.487258
-48.21357378,1.190222
-48.20690708,1.22074
-48.20024038,-1.037629
-48.19357368,-2.533036
-48.18690698,0.07629627
-48.18024028,1.495407
-48.17357358,-0.7324442
-48.16690688,-0.6103702
-48.16024018,-1.571703
-48.15357348,-3.997925
-48.14690678,1.403851
-48.14024008,1.464888
-48.13357338,-3.418073
-48.12690668,-0.1678518
-48.12023998,-1.449629
-48.11357328,-2.395703
-48.10690658,1.602222
-48.10023988,-0.8850367
-48.09357318,-1.602222
-48.08690648,-2.990814
-48.08023978,-0.6561479
-48.07357308,2.502518
-48.06690638,0.6103702
-48.06023968,-0.9918515
-48.05357298,3.616443
-48.04690628,-0.4119999
-48.04023958,0.01525925
-48.03357288,1.373333
-48.02690618,-0.8850367
-48.02023948,1.251259
-48.01357278,2.365184
-48.00690608,0.5340739
-48.00023938,0.5035554
-47.99357268,1.876888
-47.98690598,0.7324442
-47.98023928,-0.6256294
-47.97357258,2.563555
-47.96690588,0.9155552
-47.96023918,-0.3662221
-47.95357248,0.6256294
-47.94690578,0.5340739
-47.94023908,1.693777
-47.93357238,-0.3204443
-47.92690568,-1.251259
-47.92023898,1.327555
-47.91357228,-0.183111
-47.90690558,0.9918515
-47.90023888,1.144444
-47.89357218,0.5035554
-47.88690548,-0.09155552
-47.88023878,-0.7629627
-47.87357208,-0.5035554
-47.86690538,-1.464888
-47.86023868,0.5035554
-47.85357198,-0.9765922
-47.84690528,-2.029481
-47.84023858,-0.3967406
-47.83357188,0.7324442
-47.82690518,-0.03051851
-47.82023848,-3.189184
-47.81357178,-1.693777
-47.80690508,-1.22074
-47.80023838,-3.082369
-47.79357168,-0.5798516
-47.78690498,-2.700888
-47.78023828,-0.5188146
-47.77357158,1.342814
-47.76690488,-4.409925
-47.76023818,-3.814813
-47.75357148,0.1525925
-47.74690478,-1.312296
-47.74023808,1.358074
-47.73357138,-2.609332
-47.72690468,-2.288888
-47.72023798,-1.098666
-47.71357128,-5.096591
-47.70690458,-1.190222
-47.70023788,-1.419111
-47.69357118,-2.639851
-47.68690448,-1.968444
-47.68023778,-0.8087404
-47.67357108,-4.272591
-47.66690438,0.03051851
-47.66023768,-0.03051851
-47.65357098,-2.04474
-47.64690429,2.121036
-47.64023759,-2.166814
-47.63357089,-1.205481
-47.62690419,-0.6408886
-47.62023749,-0.7629627
-47.61357079,2.24311
-47.60690409,2.960295
-47.60023739,-2.746666
-47.59357069,-2.365184
-47.58690399,1.800592
-47.58023729,1.84637
-47.57357059,2.059999
-47.56690389,-0.6408886
-47.56023719,-0.8545182
-47.55357049,1.297037
-47.54690379,2.426221
-47.54023709,0.2441481
-47.53357039,-2.014221
-47.52690369,-1.342814
-47.52023699,0.9155552
-47.51357029,0.3662221
-47.50690359,-3.189184
-47.50023689,2.304147
-47.49357019,-0.961333
-47.48690349,2.04474
-47.48023679,2.410962
-47.47357009,-6.012146
-47.46690339,-0.4577776
-47.46023669,0.9460737
-47.45356999,-6.210516
-47.44690329,-0.900296
-47.44023659,1.327555
-47.43356989,-6.210516
-47.42690319,-0.9918515
-47.42023649,3.585925
-47.41356979,-0.8697774
-47.40690309,-1.815851
-47.40023639,2.410962
-47.39356969,1.541185
-47.38690299,0.04577776
-47.38023629,1.754814
-47.37356959,-2.639851
-47.36690289,-1.388592
-47.36023619,-4.654072
-47.35356949,-0.2899258
-47.34690279,-2.090518
-47.34023609,-5.020295
-47.33356939,-2.197333
-47.32690269,-2.990814
-47.32023599,-2.319407
-47.31356929,3.143406
-47.30690259,-2.014221
-47.30023589,-5.020295
-47.29356919,5.52385
-47.28690249,2.166814
-47.28023579,-4.745628
-47.27356909,2.731406
-47.26690239,-1.922666
-47.26023569,3.509628
-47.25356899,3.173925
-47.24690229,0.6408886
-47.24023559,1.403851
